id,name,now_cost,position,team,goals_scored,minutes,points_per_game_rank_type,transfers_in_event,web_name,assists,bps,status,ict_index,cost_change_event,penalties_order,news,points_per_game_rank,expected_goals_conceded,cost_change_start_fall,total_points,transfers_out,red_cards,starts,cost_change_event_fall,expected_assists,now_cost_rank_type,selected_rank,expected_goal_involvements_per_90,goals_conceded_per_90,expected_goal_involvements,bonus,threat_rank_type,creativity_rank,expected_goals_conceded_per_90,news_added,creativity,dreamteam_count,form_rank_type,corners_and_indirect_freekicks_order,selected_rank_type,cost_change_start,influence_rank,starts_per_90,region,threat_rank,influence_rank_type,saves_per_90,clean_sheets,goals_conceded,ict_index_rank,saves,form,expected_goals_per_90,chance_of_playing_this_round,yellow_cards,clean_sheets_per_90,penalties_missed,value_form,direct_freekicks_order,penalties_saved,chance_of_playing_next_round,expected_goals,expected_assists_per_90,selected_by_percent,in_dreamteam,threat,ep_this,ict_index_rank_type,value_season,own_goals,ep_next,points_per_game,now_cost_rank,event_points,influence,transfers_in,transfers_out_event,creativity_rank_type,form_rank
146,Bart Verbruggen,45,GKP,Brighton,0,720,15,4046,Verbruggen,0,111,a,25.7,0,,,108,14.52,0,25,145000,0,8,0,0.00,17,144,0.0,1.62,0.00,2,59,577,1.82,2024-08-12T14:30:04.523944Z,0.0,0,4,,20,0,23,1.0,152.0,556,8,3.62,2,13,179,29,5.0,0.0,100.0,2,0.25,0,1.1,,0,100.0,0.00,0.0,1.9,False,0.0,4.0,9,5.6,0,4.0,3.1,416,3,257.0,282114,2968,64,58
147,Adam Webster,43,DEF,Brighton,0,78,147,8,Webster,0,7,i,2.4,0,,Hamstring injury - Expected back 23 Nov,444,3.95,2,1,8966,0,2,0,0.03,126,476,0.03,4.62,0.03,0,123,387,4.56,2024-10-06T22:00:07.268394Z,1.8,0,117,,176,-2,344,2.31,241.0,361,123,0.0,0,4,387,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.03,0.1,False,2.0,0.0,128,0.2,0,0.0,0.3,540,0,20.4,2814,165,132,352
148,Danny Welbeck,59,FWD,Brighton,6,838,3,85922,Welbeck,2,233,a,75.3,0,3.0,,8,15.43,-4,62,1345387,0,10,0,0.33,23,17,0.56,1.29,5.14,13,5,70,1.66,2024-10-19T17:00:05.582252Z,144.0,1,2,,4,4,17,1.07,241.0,10,4,0.0,4,12,13,0,7.0,0.52,100.0,1,0.43,0,1.2,1.0,0,100.0,4.81,0.04,20.2,True,333.0,6.0,4,10.5,0,6.0,6.2,81,5,276.2,3091483,27076,2,6
149,Mats Wieffer,48,MID,Brighton,0,233,118,57,Wieffer,1,40,a,14.2,0,,,262,6.29,2,12,15016,0,2,0,0.11,213,488,0.11,2.7,0.28,0,139,200,2.43,2024-08-29T09:30:04.701478Z,53.8,0,116,,184,-2,263,0.77,152.0,243,116,0.0,1,7,266,0,1.0,0.07,100.0,0,0.39,0,0.2,,0,100.0,0.17,0.04,0.1,False,25.0,0.0,131,2.5,0,0.0,1.7,322,1,64.2,11477,143,128,239
595,Brajan Gruda,54,MID,Brighton,0,35,202,43,Gruda,0,5,a,3.1,0,,,405,1.04,1,3,3113,0,0,0,0.01,85,589,0.03,5.14,0.01,0,169,328,2.67,2024-08-30T04:00:05.748621Z,11.2,0,129,,250,-1,383,0.0,80.0,308,184,0.0,0,2,371,0,0.7,0.0,100.0,0,0.0,0,0.1,,0,100.0,0.00,0.03,0.0,False,10.0,-0.3,179,0.6,0,-0.3,1.0,143,1,10.2,794,19,187,264
600,Yasin Ayari,50,MID,Brighton,0,444,111,195,Ayari,0,72,d,31.3,0,,Ankle injury - 75% chance of playing,253,7.26,0,14,2356,0,4,0,0.79,153,562,0.28,1.01,1.40,0,83,69,1.47,2024-11-04T11:00:07.942715Z,144.5,0,93,3.0,230,0,215,0.81,206.0,128,88,0.0,2,5,138,0,2.0,0.12,,1,0.41,0,0.4,,0,75.0,0.61,0.16,0.0,False,77.0,1.0,80,2.8,0,0.8,1.8,237,2,89.8,2793,110,54,193
601,Andrew Moran,50,MID,Brighton,0,0,297,0,Moran,0,0,u,0.0,0,,Loaned to Stoke City,651,0.00,0,0,494,0,0,0,0.00,154,658,0.0,0.0,0.00,0,295,649,0.0,2024-08-20T12:19:09.002604Z,0.0,0,280,,296,0,651,0.0,,647,296,0.0,0,0,652,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.0,False,0.0,0.0,297,0.0,0,0.0,0.0,238,0,0.0,24,1,297,625
615,Carl Rushworth,40,GKP,Brighton,0,0,55,0,Rushworth,0,0,u,0.0,0,,Loaned to Hull City,492,0.00,0,0,6269,0,0,0,0.00,67,502,0.0,0.0,0.00,0,29,472,0.0,2024-08-31T06:28:38.039682Z,0.0,0,48,,64,0,486,0.0,,435,55,0.0,0,0,489,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.1,False,0.0,0.0,55,0.0,0,0.0,0.0,635,0,0.0,6698,73,37,407
618,Georginio Rutter,56,MID,Brighton,2,538,19,16012,Georginio,3,104,a,43.0,1,,,45,12.20,-1,38,37904,0,7,-1,0.94,67,164,0.46,1.67,2.71,1,32,84,2.04,2024-10-12T11:00:07.563830Z,131.5,1,4,,49,1,147,1.17,73.0,51,53,0.0,3,10,70,0,4.3,0.3,100.0,1,0.5,0,0.8,,0,100.0,1.77,0.16,1.6,False,168.0,3.3,44,6.8,0,3.3,4.2,110,2,136.8,195031,7967,62,14
628,Ferdi Kadioglu,45,DEF,Brighton,1,385,26,11839,F.Kadıoğlu,0,59,a,24.0,0,,,98,9.44,0,19,19044,0,5,0,0.31,70,304,0.17,1.87,0.75,0,53,144,2.21,2024-11-01T10:30:06.967267Z,83.7,0,12,,111,0,174,1.17,219.0,209,70,0.0,2,8,190,0,6.0,0.1,75.0,1,0.47,0,1.3,,0,100.0,0.44,0.07,0.3,False,40.0,3.8,55,4.2,0,5.0,3.2,382,6,116.4,47312,722,31,40
629,Matt O'Riley,55,MID,Brighton,0,0,303,35,O'Riley,0,0,d,0.0,0,,Lack of match fitness - 75% chance of playing,663,0.00,0,0,598,0,0,0,0.00,72,653,0.0,0.0,0.00,0,301,663,0.0,2024-08-28T16:30:04.729425Z,0.0,0,291,,292,0,664,0.0,58.0,661,303,0.0,0,0,664,0,0.0,0.0,75.0,0,0.0,0,0.0,,0,75.0,0.00,0.0,0.0,False,0.0,-0.8,303,0.0,0,-0.8,0.0,118,0,0.0,933,18,303,646
663,Imari Samuels,40,DEF,Brighton,0,0,165,106,Samuels,0,0,a,0.0,0,,,485,0.00,0,0,941,0,0,0,0.00,185,554,0.0,0.0,0.00,0,152,465,0.0,,0.0,0,141,,193,0,479,0.0,241.0,428,168,0.0,0,0,482,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.0,False,0.0,-1.0,168,0.0,0,-1.0,0.0,628,0,0.0,2957,197,167,400
668,Killian Cahill,40,GKP,Brighton,0,0,60,154,Cahill,0,0,a,0.0,0,,,514,0.00,0,0,217,0,0,0,0.00,72,611,0.0,0.0,0.00,0,34,493,0.0,,0.0,0,53,,69,0,507,0.0,104.0,458,60,0.0,0,0,510,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.0,False,0.0,-1.0,60,0.0,0,-1.0,0.0,660,0,0.0,1339,134,42,431
150,Andrey Nascimento dos Santos,45,MID,Chelsea,0,0,268,0,Andrey Santos,0,0,u,0.0,0,,Has joined Strasbourg on a season-long loan,606,0.00,0,0,560,0,0,0,0.00,277,656,0.0,0.0,0.00,0,256,599,0.0,2024-08-05T10:16:34.176364Z,0.0,0,229,,294,0,599,0.0,,579,261,0.0,0,0,602,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.0,False,0.0,0.0,264,0.0,0,0.0,0.0,448,0,0.0,0,2,267,552
151,Ângelo Gabriel Borges Damaceno,45,MID,Chelsea,0,0,262,0,Ângelo,0,0,u,0.0,0,,Transferred to Al-Nassr,599,0.00,0,0,25351,0,0,0,0.00,271,399,0.0,0.0,0.00,0,250,592,0.0,2024-09-05T10:38:18.297070Z,0.0,0,223,,141,0,592,0.0,,572,255,0.0,0,0,595,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.2,False,0.0,0.0,258,0.0,0,0.0,0.0,440,0,0.0,5940,255,261,544
153,Benoît Badiashile,43,DEF,Chelsea,0,37,124,116,B.Badiashile,0,11,a,0.9,0,,,354,0.09,2,1,11429,0,0,0,0.00,141,434,0.0,0.0,0.00,0,191,398,0.22,,0.9,0,105,,157,-2,396,0.0,73.0,483,138,0.0,0,0,424,0,0.3,0.0,,0,0.0,0,0.1,,0,,0.00,0.0,0.1,False,0.0,0.8,143,0.2,0,-0.2,1.0,557,0,8.2,5603,216,139,314
154,Lucas Bergström,40,GKP,Chelsea,0,0,56,94,Bergström,0,0,a,0.0,0,,,493,0.00,0,0,12222,0,0,0,0.00,68,328,0.0,0.0,0.00,0,30,473,0.0,,0.0,0,49,,47,0,487,0.0,72.0,436,56,0.0,0,0,490,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.3,False,0.0,0.5,56,0.0,0,-0.5,0.0,637,0,0.0,12124,262,38,408
155,Marcus Bettinelli,40,GKP,Chelsea,0,0,36,73,Bettinelli,0,0,a,0.0,0,,,459,0.00,0,0,12026,0,0,0,0.00,47,291,0.0,0.0,0.00,0,9,436,0.0,,0.0,0,28,,43,0,451,0.0,241.0,397,36,0.0,0,0,454,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.3,False,0.0,0.5,36,0.0,0,-0.5,0.0,591,0,0.0,8306,245,17,369
157,Moisés Caicedo Corozo,49,MID,Chelsea,1,885,36,11225,Caicedo,2,190,a,42.9,0,,,90,13.44,1,33,86235,0,10,0,1.18,187,194,0.15,1.22,1.44,2,123,56,1.37,,161.2,0,8,,59,-1,41,1.02,62.0,214,12,0.0,2,12,71,0,5.3,0.03,,2,0.2,0,1.1,,0,,0.26,0.12,1.1,False,38.0,5.8,45,6.7,0,4.8,3.3,284,9,229.6,120086,2604,46,24
158,Cesare Casadei,44,MID,Chelsea,0,0,227,483,Casadei,0,0,a,0.0,-1,,,549,0.00,1,0,16032,0,0,1,0.00,303,419,0.0,0.0,0.00,0,213,540,0.0,,0.0,0,183,,152,-1,542,0.0,106.0,515,220,0.0,0,0,545,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.1,False,0.0,0.5,223,0.0,0,-0.5,0.0,524,0,0.0,13148,395,226,489
160,Ben Chilwell,47,DEF,Chelsea,0,0,217,477,Chilwell,0,0,a,0.0,0,,,624,0.00,3,0,70612,0,0,0,0.00,43,256,0.0,0.0,0.00,0,215,618,0.0,,0.0,0,211,,93,-3,620,0.0,241.0,601,219,0.0,0,0,621,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.5,False,0.0,0.5,219,0.0,0,-0.5,0.0,335,0,0.0,21963,944,219,576
161,Carney Chukwuemeka,48,MID,Chelsea,0,0,284,49,Chukwuemeka,0,0,a,0.0,0,,,631,0.00,2,0,6267,0,0,0,0.00,215,515,0.0,0.0,0.00,0,278,625,0.0,2024-10-04T12:30:06.437566Z,0.0,0,257,,200,-2,628,0.0,241.0,613,282,0.0,0,0,629,0,0.0,0.0,100.0,0,0.0,0,0.0,,0,100.0,0.00,0.0,0.0,False,0.0,0.5,283,0.0,0,-0.5,0.0,324,0,0.0,3533,101,284,592
162,Levi Colwill,46,DEF,Chelsea,0,900,55,3416,Colwill,0,116,a,26.2,0,,,179,13.30,-1,23,240086,0,10,0,0.78,50,109,0.1,1.2,0.97,1,54,242,1.33,,39.7,0,48,,43,1,80,1.0,241.0,210,28,0.0,2,12,175,0,1.7,0.02,,2,0.2,0,0.4,,0,,0.19,0.08,3.0,False,40.0,2.2,48,5.0,0,1.2,2.3,351,2,181.6,456104,7282,70,176
163,Marc Cucurella Saseta,50,DEF,Chelsea,0,647,77,2849,Cucurella,0,89,a,16.9,0,,,238,8.55,0,17,564734,0,7,0,0.66,22,88,0.1,1.11,0.70,0,82,217,1.19,2024-10-06T22:00:07.319833Z,47.8,0,99,,34,0,192,0.97,200.0,273,76,0.0,2,8,244,0,0.7,0.01,100.0,5,0.28,0,0.1,,0,100.0,0.04,0.09,4.1,False,18.0,1.2,81,3.4,0,0.2,1.9,198,1,103.0,308416,9265,56,293
164,David Datro Fofana,54,FWD,Chelsea,0,0,68,0,D.D.Fofana,0,0,u,0.0,0,,Transferred to AEK Athens,662,0.00,1,0,14381,0,0,0,0.00,42,483,0.0,0.0,0.00,0,68,662,0.0,2024-09-11T14:26:52.770225Z,0.0,0,67,,63,-1,663,0.0,54.0,659,68,0.0,0,0,663,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.1,False,0.0,0.0,68,0.0,0,0.0,0.0,144,0,0.0,4727,56,68,644
165,Deivid Washington de Souza Eugênio,50,FWD,Chelsea,0,0,66,132,Deivid,0,0,a,0.0,0,,,655,0.00,0,0,13799,0,0,0,0.00,54,410,0.0,0.0,0.00,0,66,654,0.0,,0.0,0,63,,58,0,655,0.0,30.0,651,66,0.0,0,0,656,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.1,False,0.0,0.5,66,0.0,0,-0.5,0.0,247,0,0.0,11725,359,66,629
166,Kiernan Dewsbury-Hall,56,MID,Chelsea,0,44,204,62,Dewsbury-Hall,0,9,a,2.0,0,,,408,0.34,4,3,22313,0,0,0,0.03,65,420,0.06,2.05,0.03,0,302,320,0.7,,12.4,0,292,,153,-4,401,0.0,241.0,664,194,0.0,0,1,399,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.06,0.1,False,0.0,0.5,198,0.5,0,-0.5,1.0,106,0,7.4,5129,221,183,649
167,Axel Disasi,43,DEF,Chelsea,0,94,15,237,Disasi,0,29,a,1.5,0,,,71,1.90,2,7,41022,0,1,0,0.00,136,316,0.0,0.0,0.00,0,189,390,1.82,,1.5,0,184,,116,-2,373,0.96,73.0,481,134,0.0,1,0,410,0,0.0,0.0,,0,0.96,0,0.0,,0,,0.00,0.0,0.3,False,0.0,0.5,138,1.6,0,-0.5,3.5,552,0,13.0,21368,751,134,458
168,Enzo Fernández,48,MID,Chelsea,0,585,117,890,Enzo,0,92,a,30.6,0,4.0,,261,5.92,2,15,181754,0,6,0,0.67,211,191,0.17,1.23,1.15,0,100,55,0.91,,161.3,0,115,3.0,57,-2,224,0.92,10.0,166,94,0.0,1,8,146,0,1.0,0.07,,1,0.15,0,0.2,,0,,0.48,0.1,1.2,False,58.0,1.5,82,3.1,0,0.5,1.7,319,1,86.0,124099,3519,45,238
169,Conor Gallagher,59,MID,Chelsea,0,0,304,0,Gallagher,0,0,u,0.0,0,,Transferred to Atletico Madrid,665,0.00,1,0,71180,0,0,0,0.00,55,402,0.0,0.0,0.00,0,303,666,0.0,2024-08-22T11:20:34.236891Z,0.0,0,294,,142,-1,666,0.0,,665,304,0.0,0,0,666,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.2,False,0.0,0.0,304,0.0,0,0.0,0.0,87,0,0.0,1567,85,304,651
170,Alfie Gilchrist,40,DEF,Chelsea,0,0,173,0,Gilchrist,0,0,u,0.0,0,,Has joined Sheffield United on a season-long,501,0.00,0,0,6186,0,0,0,0.00,195,532,0.0,0.0,0.00,0,160,480,0.0,2024-08-09T11:15:16.064928Z,0.0,0,150,,188,0,494,0.0,,444,175,0.0,0,0,497,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.0,False,0.0,0.0,175,0.0,0,0.0,0.0,646,0,0.0,0,48,174,417
171,Malo Gusto,49,DEF,Chelsea,0,645,109,3045,Gusto,0,47,a,22.9,0,,,337,9.36,1,9,310825,0,8,0,0.35,30,163,0.12,1.53,0.83,0,33,151,1.31,2024-09-02T01:30:06.042221Z,79.4,0,72,,60,-1,211,1.12,73.0,161,82,0.0,0,11,198,0,1.0,0.07,100.0,2,0.0,0,0.2,,0,100.0,0.48,0.05,1.6,False,59.0,1.5,59,1.8,0,0.5,1.1,283,0,90.4,148519,4391,35,243
172,Reece James,49,DEF,Chelsea,0,232,102,7565,James,0,29,a,6.1,0,,,313,5.74,1,4,14596,0,3,0,0.22,27,257,0.09,1.55,0.22,0,220,283,2.23,2024-07-17T13:30:05.006577Z,22.9,0,60,2.0,94,-1,314,1.16,241.0,623,110,0.0,0,4,340,0,1.3,0.0,100.0,0,0.0,0,0.3,2.0,0,100.0,0.00,0.09,0.5,False,0.0,1.8,112,0.8,0,0.8,1.3,272,2,38.0,51877,1789,87,208
173,Omari Kellyman,44,MID,Chelsea,0,0,229,51,Kellyman,0,0,i,0.0,0,,Hamstring injury - Unknown return date,551,0.00,1,0,4551,0,0,0,0.00,306,561,0.0,0.0,0.00,0,215,542,0.0,2024-09-08T23:00:06.668188Z,0.0,0,185,,229,-1,544,0.0,241.0,517,222,0.0,0,0,547,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.0,False,0.0,0.0,225,0.0,0,0.0,0.0,528,0,0.0,2628,90,228,491
174,Roméo Lavia,45,MID,Chelsea,0,269,94,5039,Lavia,1,61,a,11.5,0,,,222,6.13,0,10,156164,0,4,0,0.23,268,213,0.08,1.67,0.23,0,247,215,2.05,2024-08-27T11:00:05.591579Z,48.6,0,58,,68,0,261,1.34,21.0,569,114,0.0,0,5,287,0,2.3,0.0,100.0,1,0.0,0,0.5,,0,100.0,0.00,0.08,0.9,False,0.0,2.8,140,2.2,0,1.8,2.0,437,2,65.4,134293,2505,135,128
175,Romelu Lukaku Bolingoli,63,FWD,Chelsea,0,0,71,0,Lukaku,0,0,u,0.0,0,,Permanent transfer to Napoli,667,0.00,2,0,59830,0,0,0,0.00,20,358,0.0,0.0,0.00,0,71,668,0.0,2024-08-30T10:21:53.872158Z,0.0,0,70,,55,-2,668,0.0,,667,71,0.0,0,0,668,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.2,False,0.0,0.0,71,0.0,0,0.0,0.0,53,0,0.0,8049,110,71,656
176,Malang Sarr,45,DEF,Chelsea,0,0,211,0,M.Sarr,0,0,u,0.0,0,,Permanent move to RC Lens,561,0.00,0,0,431,0,0,0,0.00,62,660,0.0,0.0,0.00,0,208,553,0.0,2024-07-29T09:46:25.583703Z,0.0,0,205,,219,0,554,0.0,,530,213,0.0,0,0,557,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.0,False,0.0,0.0,213,0.0,0,0.0,0.0,373,0,0.0,0,2,213,502
177,Noni Madueke,64,MID,Chelsea,4,687,7,16472,Madueke,1,164,a,67.3,-1,3.0,,13,11.22,1,48,1308089,0,9,1,0.65,31,54,0.43,1.31,3.24,6,5,81,1.47,,135.6,1,91,,15,-1,70,1.18,241.0,8,23,0.0,2,10,24,0,1.7,0.34,,1,0.26,0,0.3,,0,,2.59,0.09,8.0,False,341.0,2.2,17,7.5,0,1.2,5.3,51,2,195.0,1948068,43558,59,189
178,Marc Guiu Paz,48,FWD,Chelsea,0,24,37,893,Marc Guiu,0,2,a,0.0,0,,,387,0.11,2,1,95973,0,0,0,0.00,62,244,0.0,3.75,0.00,0,57,408,0.41,,0.3,0,54,,43,-2,629,0.0,200.0,615,57,0.0,0,1,630,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.6,False,0.0,0.5,57,0.2,0,-0.5,1.0,328,0,0.0,65539,1785,43,593
179,Mykhailo Mudryk,62,MID,Chelsea,0,123,206,286,Mudryk,0,20,a,7.7,0,,,410,3.11,3,6,33546,0,1,0,0.54,48,340,0.58,1.46,0.78,0,135,262,2.28,,30.9,0,150,,120,-3,346,0.73,225.0,238,161,0.0,0,2,323,0,0.7,0.18,,0,0.0,0,0.1,,0,,0.24,0.4,0.2,False,27.0,1.2,159,1.0,0,0.2,1.0,72,1,20.0,14818,487,156,306
180,Nicolas Jackson,79,FWD,Chelsea,6,778,5,40168,N.Jackson,3,243,a,79.4,0,,,12,12.42,-4,58,1060428,0,10,0,0.32,5,20,0.72,1.27,6.21,9,2,75,1.44,,139.5,2,9,,5,4,13,1.16,189.0,5,2,0.0,2,11,11,0,5.3,0.68,,4,0.23,0,0.7,,0,,5.89,0.04,17.5,False,360.0,5.8,3,7.3,0,4.8,5.8,13,1,294.4,2577213,75193,3,27
181,Christopher Nkunku,59,MID,Chelsea,1,151,131,1169,Nkunku,0,51,a,22.4,0,2.0,,282,1.93,6,14,1509235,0,1,0,0.19,53,117,1.31,0.6,2.21,1,56,209,1.15,,51.4,0,172,,38,-6,265,0.6,73.0,87,118,0.0,0,1,205,0,0.3,1.2,,1,0.0,0,0.1,,0,,2.02,0.11,2.6,False,112.0,0.8,105,2.4,0,-0.2,1.6,85,0,62.8,227787,7133,132,347
182,Cole Palmer,110,MID,Chelsea,7,865,2,53167,Palmer,5,347,d,105.5,0,1.0,Knock - 75% chance of playing,2,13.16,-5,82,1687013,0,10,0,2.50,2,2,0.75,1.25,7.23,13,14,4,1.37,2024-11-04T00:00:07.502354Z,374.1,3,14,1.0,1,5,2,1.04,241.0,25,1,0.0,2,12,4,0,5.0,0.49,100.0,3,0.21,0,0.5,1.0,0,75.0,4.73,0.26,55.9,True,257.0,5.5,3,7.5,0,3.4,8.2,3,3,422.8,3703328,73399,4,34
183,Đorđe Petrović,44,GKP,Chelsea,0,0,69,0,Petrović,0,0,u,0.0,0,,Loaned to Strasbourg,547,0.00,1,0,58552,0,0,0,0.00,30,351,0.0,0.0,0.00,0,54,538,0.0,2024-08-31T06:26:07.653045Z,0.0,0,67,,50,-1,540,0.0,,513,69,0.0,0,0,543,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.2,False,0.0,0.0,69,0.0,0,0.0,0.0,521,0,0.0,2753,293,61,487
184,Renato Palma Veiga,45,MID,Chelsea,0,164,174,185,Renato Veiga,0,17,a,5.8,0,,,368,2.29,0,5,27249,0,1,0,0.15,282,337,0.17,0.55,0.31,0,148,347,1.26,,8.4,0,234,,117,0,328,0.55,173.0,266,150,0.0,1,1,341,0,0.0,0.09,,2,0.55,0,0.0,,0,,0.16,0.08,0.2,False,19.0,0.5,167,1.1,0,-0.5,1.0,454,0,30.4,37153,844,193,558
185,Robert Sánchez,47,GKP,Chelsea,0,900,5,9355,Sánchez,0,162,a,30.4,0,,,42,13.56,-2,42,492273,0,10,0,0.01,11,34,0.0,1.2,0.01,5,62,619,1.36,,0.0,2,17,,6,2,11,1.0,200.0,602,3,4.0,2,12,147,40,2.0,0.0,,2,0.2,0,0.4,,1,,0.00,0.0,11.5,False,0.0,2.5,3,8.9,0,1.5,4.2,337,3,305.4,1358745,19641,66,149
187,Tosin Adarabioyo,43,DEF,Chelsea,0,171,79,100,Tosin,0,42,a,5.1,0,,,246,3.16,2,7,24648,0,2,0,0.00,125,390,0.0,1.05,0.00,0,184,324,1.66,,11.7,0,219,,141,-2,312,1.05,241.0,474,108,0.0,1,2,347,0,-0.3,0.0,,1,0.53,0,-0.1,,0,,0.00,0.0,0.2,False,0.0,0.2,113,1.6,0,-0.8,1.8,539,0,38.6,14257,515,105,669
189,Wesley Fofana,45,DEF,Chelsea,0,776,89,929,W.Fofana,0,93,a,22.7,0,,,273,11.27,0,14,69407,0,9,0,0.11,78,261,0.01,1.16,0.15,2,75,207,1.31,2024-10-06T22:00:07.368413Z,52.6,0,71,,95,0,124,1.04,73.0,259,50,0.0,1,10,199,0,1.0,0.0,100.0,6,0.12,0,0.2,,0,100.0,0.04,0.01,0.5,False,20.0,1.5,60,3.1,0,0.5,1.6,396,2,153.4,71612,886,54,235
386,Jadon Sancho,63,MID,Chelsea,0,305,25,1120,Sancho,4,79,a,23.3,0,,,59,3.60,2,19,258932,0,4,0,0.86,35,184,0.27,1.18,0.94,1,120,105,1.06,2024-10-25T22:30:06.373335Z,116.5,0,173,,55,-2,239,1.18,241.0,208,103,0.0,0,4,196,0,0.3,0.02,0.0,1,0.0,0,0.0,,0,100.0,0.08,0.25,1.3,False,41.0,0.0,101,3.0,0,-0.2,3.8,56,0,75.8,327749,10289,77,348
560,Pedro Lomba Neto,62,MID,Chelsea,0,465,132,3631,Neto,2,80,a,35.9,0,,,283,7.20,3,16,129756,0,4,0,0.78,46,230,0.22,0.97,1.15,1,77,47,1.39,,177.2,0,53,4.0,74,-3,200,0.77,173.0,119,81,0.0,0,5,105,0,2.7,0.07,,3,0.0,0,0.4,,0,,0.37,0.15,0.7,False,84.0,3.2,65,2.6,0,2.2,1.6,70,2,98.0,75028,2113,40,121
575,Caleb Wiley,40,DEF,Chelsea,0,0,168,0,Wiley,0,0,u,0.0,0,,Loaned to Strasbourg,494,0.00,0,0,3225,0,0,0,0.00,189,583,0.0,0.0,0.00,0,155,474,0.0,2024-08-13T07:07:06.645739Z,0.0,0,144,,198,0,488,0.0,,437,171,0.0,0,0,491,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.0,False,0.0,0.0,171,0.0,0,0.0,0.0,638,0,0.0,0,25,170,409
581,Filip Jørgensen,42,GKP,Chelsea,0,0,61,77,Jørgensen,0,0,a,0.0,-1,,,523,0.00,3,0,24198,0,0,1,0.00,39,367,0.0,0.0,0.00,0,35,502,0.0,,0.0,0,54,,53,-3,516,0.0,58.0,468,61,0.0,0,0,519,0,0.0,0.0,,0,0.0,0,0.0,,0,,0.00,0.0,0.2,False,0.0,0.5,61,0.0,0,-0.5,0.0,575,0,0.0,6548,285,43,442
621,João Félix Sequeira,61,MID,Chelsea,1,118,115,553,João Félix,0,33,a,12.1,0,,,257,1.18,4,9,134902,0,0,0,0.11,50,258,0.44,0.0,0.58,0,102,290,0.9,,19.9,0,296,,82,-4,300,0.0,173.0,170,141,0.0,0,0,285,0,0.0,0.36,,1,0.0,0,0.0,,0,,0.47,0.08,0.5,False,57.0,0.5,139,1.5,0,-0.5,1.8,75,0,45.0,145120,1521,167,654
11,Eddie Nketiah,59,FWD,Crystal Palace,0,488,33,706,Nketiah,0,58,a,29.0,0,,,268,7.90,1,12,133582,0,6,0,0.39,25,227,0.26,1.48,1.41,0,18,143,1.46,,84.2,0,29,,40,-1,297,1.11,241.0,55,31,0.0,1,8,157,0,1.7,0.19,,1,0.18,0,0.3,,0,,1.02,0.07,0.7,False,162.0,1.7,23,2.0,0,1.7,1.7,84,2,46.2,154005,3727,15,187
159,Trevoh Chalobah,44,DEF,Crystal Palace,1,357,3,6275,Chalobah,0,73,a,20.3,0,,,21,5.18,1,19,19581,0,4,0,0.06,97,307,0.11,1.01,0.42,2,29,269,1.31,2024-09-13T15:30:06.602568Z,27.6,1,5,,112,-1,179,1.01,241.0,153,71,0.0,1,4,223,0,5.7,0.09,100.0,0,0.25,0,1.3,,0,100.0,0.36,0.02,0.3,False,63.0,5.7,69,4.3,0,5.7,4.8,492,7,112.0,29291,452,81,16
190,Naouirou Ahamada,45,MID,Crystal Palace,0,0,247,0,Ahamada,0,0,u,0.0,0,,Loaned to Rennes,581,0.00,0,0,30307,0,0,0,0.00,247,418,0.0,0.0,0.00,0,234,573,0.0,2024-08-31T06:25:25.419519Z,0.0,0,204,,151,0,574,0.0,,550,240,0.0,0,0,577,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.1,False,0.0,0.0,243,0.0,0,0.0,0.0,408,0,0.0,6178,239,246,522
